,Country Name,Country Code,year,population
0,Afghanistan,AFG,Unnamed: 0,0
1,Albania,ALB,Unnamed: 0,1
2,Algeria,DZA,Unnamed: 0,2
3,American Samoa,ASM,Unnamed: 0,3
4,Andorra,AND,Unnamed: 0,4
5,Angola,AGO,Unnamed: 0,5
6,Antigua and Barbuda,ATG,Unnamed: 0,6
7,Argentina,ARG,Unnamed: 0,7
8,Armenia,ARM,Unnamed: 0,8
9,Aruba,ABW,Unnamed: 0,9
10,Australia,AUS,Unnamed: 0,10
11,Austria,AUT,Unnamed: 0,11
12,Azerbaijan,AZE,Unnamed: 0,12
13,Afghanistan,AFG,1960,8996973
14,Albania,ALB,1960,1608800
15,Algeria,DZA,1960,11057863
16,American Samoa,ASM,1960,20123
17,Andorra,AND,1960,13411
18,Angola,AGO,1960,5454933
19,Antigua and Barbuda,ATG,1960,54131
20,Argentina,ARG,1960,20481779
21,Armenia,ARM,1960,1874121
22,Aruba,ABW,1960,54211
23,Australia,AUS,1960,10276477
24,Austria,AUT,1960,7047539
25,Azerbaijan,AZE,1960,3895397
26,Afghanistan,AFG,1961,9169410
27,Albania,ALB,1961,1659800
28,Algeria,DZA,1961,11336339
29,American Samoa,ASM,1961,20602
30,Andorra,AND,1961,14375
31,Angola,AGO,1961,5531472
32,Antigua and Barbuda,ATG,1961,55001
33,Argentina,ARG,1961,20817266
34,Armenia,ARM,1961,1941492
35,Aruba,ABW,1961,55438
36,Australia,AUS,1961,10483000
37,Austria,AUT,1961,7086299
38,Azerbaijan,AZE,1961,4030322
39,Afghanistan,AFG,1962,9351441
40,Albania,ALB,1962,1711319
41,Algeria,DZA,1962,11619828
42,American Samoa,ASM,1962,21253
43,Andorra,AND,1962,15370
44,Angola,AGO,1962,5608539
45,Antigua and Barbuda,ATG,1962,55841
46,Argentina,ARG,1962,21153052
47,Armenia,ARM,1962,2009526
48,Aruba,ABW,1962,56225
49,Australia,AUS,1962,10742000
50,Austria,AUT,1962,7129864
51,Azerbaijan,AZE,1962,4171426
52,Afghanistan,AFG,1963,9543205
53,Albania,ALB,1963,1762621
54,Algeria,DZA,1963,11912803
55,American Samoa,ASM,1963,22034
56,Andorra,AND,1963,16412
57,Angola,AGO,1963,5679458
58,Antigua and Barbuda,ATG,1963,56702
59,Argentina,ARG,1963,21488912
60,Armenia,ARM,1963,2077578
61,Aruba,ABW,1963,56695
62,Australia,AUS,1963,10950000
63,Austria,AUT,1963,7175811
64,Azerbaijan,AZE,1963,4315127
65,Afghanistan,AFG,1964,9744781
66,Albania,ALB,1964,1814135
67,Algeria,DZA,1964,12221675
68,American Samoa,ASM,1964,22854
69,Andorra,AND,1964,17469
70,Angola,AGO,1964,5735044
71,Antigua and Barbuda,ATG,1964,57641
72,Argentina,ARG,1964,21824425
73,Armenia,ARM,1964,2145001
74,Aruba,ABW,1964,57032
75,Australia,AUS,1964,11167000
76,Austria,AUT,1964,7223801
77,Azerbaijan,AZE,1964,4456687
78,Afghanistan,AFG,1965,9956320
79,Albania,ALB,1965,1864791
80,Algeria,DZA,1965,12550885
81,American Samoa,ASM,1965,23672
82,Andorra,AND,1965,18549
83,Angola,AGO,1965,5770570
84,Antigua and Barbuda,ATG,1965,58698
85,Argentina,ARG,1965,22159650
